# Con que fichero se dibuja la cara de cada personaje.
# cara = 10_icon_chr/face/<cara>_l.png
# Lo genera herramientas/construir_caras.py (NOTAS O-99).
identidad,cara,existe
2A890DB0,c02025350,si
2A8D7F51,c08060010,si
2A924FC4,c04000050_5000,no
2AA62CA1,c11600010,si
2AA7A162,c11700290,si
2AB3D6A8,c11070050,si
2AB47A29,c08030090,si
2AB591C2,c01009250,si
2AC0F0D5,c07120090,si
2AC7D279,c02020890,si
2AD5EB4F,c04012880,si
2ADAF6EE,c11718130,si
2AFE48DC,c02027690,si
2B08403A,c01000300,si
2B178178,c04012980,si
2B189CD9,c11718030,si
2B37FABD,c03030290,si
2B3C22EB,c02027790,si
2B40BFD1,c03032750,si
2B4B6787,c02025250,si
2B4F1566,c08060110,si
2B644696,c11600110,si
2B65CB55,c11700390,si
2B672716,c11711060,si
2B71BC9F,c11070150,si
2B77FBF5,c01009350,si
2B804E1C,c05021520,si
2B921D86,c04013350,si
2BAF4B42,c06032130,si
2BAFC40F,c01005420,si
2BB26643,c03031840,si
2BCDDD8C,c03038810,si
2BCFB366,c11050500,si
2BE558EA,c04011690,si
2BE73BE4,c03037070,si
2BE7B4A9,c04000560,si
2BF2670B,c01008980,si
2C01E8E6,c01000700,si
2C23705E,npc2316,no
2C2774C0,c05028440_5000,no
2C2F3A7A,c11030010,si
2C358A37,c02027390,si
2C3C316F,c04016070,si
2C3E5261,c03030690,si
2C42CF5B,c02025650,si
2C49170D,c03032350,si
2C696CC8,c04010840,si
2C6C6389,c11700790,si
2C72D419,c11908030,si
2C7E5329,c01009750,si
2C89E6C0,c05021120,si
2C9AF0A1,c02029120,si
2C9BB55A,c04013750,si
2CA317ED,c01000100_5000,no
2CA66CD3,c01005020,si
2CAF3BFC,c11738060,si
2CB016C9,c02026940,si
2CB4271E,c07080060,si
2CC61BBA,c11050100,si
2CCA249C,c06033300,si
2CD08033,c11731030,si
2CDCBB67,c05027910,si
2CECF036,c04011290,si
2CEE1C75,c04000160,si
2CEE9338,c03037470,si
2CF33174,c01003810,si
2CFE041B,c11180020,si
2D12EA04,c11731130,si
2D1E497B,c11806100,si
2D1ED150,c05027810,si
2D2C7642,c04000060,si
2D2CF90F,c03037570,si
2D2E9A01,c04011390,si
2D315B43,c01003910,si
2D343738,c05028070,si
2D3AD874,c08040040,si
2D3C6E2C,c11180120,si
2D3CA337,c02023380,si
2D3D9E4F,c07030010,si
2D4B8CF7,c05021020,si
2D589A96,c02029020,si
2D59DF6D,c04013650,si
2D6406E4,c01005120,si
2D727CFE,c02026840,si
2D80A56C,c02025750,si
2D8B7D3A,c03032250,si
2D9EAF46,c05020500,si
2DAB06FF,c04010940,si
2DAE09BE,c11700690,si
2DB0BE2E,c11908130,si
2DBC391E,c01009650,si
2DC0C71E,c11727020,si
2DCF05E1,c11901160,si
2DEC08C2,c05024700,si
2DF5F631,c01000310,si
2DF7E000,c02027290,si
2DFE5B58,c04016170,si
2E047102,c02025550,si
2E0FA954,c03032050,si
2E128455,c06031920,si
2E1A7B28,c05020700,si
2E2ADDD0,c11700490,si
2E38ED70,c01009450,si
2E501BC2,c04010910_5000,no
2E73346E,c02027090,si
2E812820,c11150080,si
2E8684A1,c08110040,si
2E8FB5A6,c11714040,si
2EA82D61,c03037770,si
2EA8A22C,c04000260,si
2EAA4E6F,c04011190,si
2EB0E356,c05028270,si
2EC40365,edit_avatar14,no
2EDC4EF8,c02029220,si
2EDD0B03,c04013450,si
2EE0D28A,c01005320,si
2EEB69E6,c11729090,si
2F1714A0,c01002610,si
2F1F6134,c04013550,si
2F22B8BD,c01005220,si
2F44EE96,c08110140,si
2F4EF0F2,c06033100,si
2F682458,c04011090,si
2F6A4756,c03037670,si
2F6AC81B,c04000360,si
2F7A476F,c11100100,si
2F853C88,c01000500,si
2F8D4641,c11250070,si
2F9FF28B,c11702050,si
2FB15E59,c02027190,si
2FB34868,c01000010,si
2FBA860F,c03030490,si
2FC61B35,c02025450,si
2FCDC363,c03032150,si
2FD0EE62,c06031820,si
2FE8B7E7,c11700590,si
2FF48419,c02023100,si
2FFA8747,c01009550,si
30009285,c01006820,si
3014BB3C,c11120040,si
3016E89F,c02025140,si
301D30C9,c03032440,si
302A74ED,c01009040,si
302F1896,c05022920,si
302F80BD,c11803030,si
3038444D,c11700080,si
3055406F,c06037500,si
3055CF22,c01000010,si
3061ADF3,c02027480,si
30664B2F,c11010060,si
30679D41,c07070080,si
307A4531,c05024110,si
307CF6F4,c11010040,si
30B2F63D,edit_avatar00,no
30B8D7F2,c04011580,si
30BA3BB1,c04000670,si
30BAB4FC,c03037360,si
30CF929E,c04013040,si
30D2BF9F,c01010930,si
30E0C524,c05023510_5000,no
30F24B17,c01005730,si
310DF8A9,c04013140,si
3110D5A8,c01010830,si
3123B9D2,c02020890,si
31280360,c11716090,si
312F7F8B,c04003280_5100,no
31302120,c01005630,si
313364EF,c11722010,si
3168DEF2,c11100510,si
3178DECB,c03037260,si
317ABDC5,c04011480,si
3181DF0F,c02023870,si
318A8814,c04003860,si
31972A58,c06037400,si
3197A515,c01000110,si
319CF20E,c07020100,si
31A3C7C4,c02027580,si
31A81F92,c03030080,si
31B82F06,c05024010,si
31C2F8B2,c01006920,si
31D482A8,c02025040,si
31D6D10B,c11120140,si
31DF5AFE,c03032540,si
31E81EDA,c01009140,si
31E878F2,c08130100,si
31ED72A1,c05022820,si
31FA2E7A,c11700180,si
3203AD98,c11718020,si
320CB039,c04012990,si
3213717B,c01000310,si
322713AA,c02027780,si
322CCBFC,c03030280,si
325056C6,c02025240,si
32542427,c08060100,si
325B8E90,c03032740,si
326A8DDE,c11070140,si
326CCAB4,c01009340,si
327C1657,c11711070,si
327EFA14,c11700380,si
327F77D7,c11600100,si
3283AC1E,c11010050,si
32892CC7,c04013340,si
329B7F5D,c05021530,si
32A95702,c03031850,si
32B47A03,c06032120,si
32B4F54E,c01005430,si
32C6A73F,c05024920_5000,no
32D48227,c11050510,si
32D6ECCD,c03038800,si
32E4C492,c05028560,si
32E9564A,c01008990,si
32FC0AA5,c03037060,si
32FE69AB,c04011680,si
331486FA,c03038900,si
3326AEA5,c05028460,si
33282B71,c04003230_5100,no
332B3C7D,c01008890,si
333C039C,c04011780,si
333E6092,c03037160,si
333EEFDF,c04000470,si
334B46F0,c04013240,si
3359156A,c05021430,si
336B3D35,c03031950,si
336C517A,c11707060,si
33761034,c06032020,si
33769F79,c01005530,si
338C36DB,c05020110,si
33923CF1,c02025340,si
339905CF,c01001900,si
3399E4A7,c03032640,si
33A09645,npc5005,no
33A8E7E9,c11070040,si
33AEA083,c01009240,si
33AF4B68,c08030080,si
33BC9023,c11700280,si
33C1C7AF,c11718120,si
33CEDA0E,c04012890,si
33D11B4C,c01000210,si
33DBC194,c07120080,si
33E5799D,c02027680,si
3405E011,c05027800,si
3409DB45,c11731120,si
341F40CC,c11050010,si
341FE784,c05020800_5000,no
3421E935,c08040050,si
34275F6D,c11180130,si
342A6A02,c01003900,si
342F0679,c05028060,si
3435AB40,c04011380,si
34374703,c04000070,si
3437C84E,c03037560,si
3442EE2C,c04013640,si
3443ABD7,c02029030,si
344E17E8,c04002060_5100,no
3450BDB6,c05021030,si
34694DBF,c02026850,si
347F37A5,c01005130,si
34904C7B,c03032240,si
349B942D,c02025740,si
34A7085F,c01009640,si
34AA9B59,c06033100,si
34AB8F6F,c11908120,si
34B037BE,c04010950,si
34B538FF,c11700680,si
34D8B390,c01000610,si
34DBF65F,c11727030,si
34E56A19,c04016160,si
34ECD141,c02027280,si
34EEC770,c01000300,si
34F73983,c05024710,si
351AD9A7,c01000710,si
35256320,c03030680,si
3527002E,c04016060,si
352EBB76,c02027380,si
353553B4,c05024610,si
3552264C,c03032340,si
3559FE1A,c02025640,si
35656268,c01009740,si
35725D89,c04010850,si
357752C8,c11700780,si
3580841B,c04013740,si
3581C1E0,c02029130,si
358C7DDF,c04002060_5000,no
3592D781,c05021130,si
35AB2788,c02026950,si
35AF165F,c07080070,si
35B40ABD,c11738070,si
35BD5D92,c01005030,si
35C7120D,c11806010,si
35C78A26,c05027900,si
35CBB172,c11731020,si
35DD2AFB,c11050110,si
35E5355A,c11180030,si
35E80035,c01003800,si
35ED6C4E,c05028160,si
35F52D34,c04000170,si
35F5A279,c03037460,si
35F7C177,c04011280,si
35FE1083,c05020700,si
36045075,c04013540,si
362F6511,c11500260,si
363989FC,c01005230,si
365FDFD7,c08110150,si
3661762E,c11100110,si
36717617,c03037660,si
3671F95A,c04000370,si
36731519,c04011080,si
367AC4ED,c05020500,si
3684C3CA,c11702040,si
36967700,c11250060,si
369CF121,c02023520,si
369E0DC9,c01000510,si
36A1B74E,c03030480,si
36AA6F18,c02027180,si
36BC9571,npc2106,no
36CBDF23,c06031830,si
36D6F222,c03032140,si
36D8C89C,c02023380,si
36DD2A74,c02025440,si
36E1B606,c01009540,si
36F386A6,c11700580,si
37149815,c03032040,si
371F4043,c02025540,si
3723DC31,c01009440,si
372E4F37,c06033300,si
3731EC91,c11700480,si
37541D37,c11250160,si
375C67FE,c01000410,si
3768052F,c02027080,si
376A131E,c01000100,si
379A1961,c11150090,si
379DB5E0,c08110050,si
37A31C19,c11100010,si
37ABD217,c05028260,si
37B17F2E,c04011180,si
37B31C20,c03037760,si
37B3936D,c04000270,si
37C63A42,c04013440,si
37C77FB9,c02029230,si
37CB51D1,c11030010,si
37D0DE29,c02024040,si
37DCD24E,c02020890,si
37DF3224,edit_avatar04,no
37F058A7,c11729080,si
37FB6C86,c06032620,si
37FBE3CB,c01005330,si
380A2CCC,c01010430,si
38377A08,c03031650,si
3838474F,c06037410_5100,no
383CA25E,c02026350,si
38403F64,c03033390,si
3848C1C7,c03038600,si
384BE732,c02024690,si
38500FF0,c05027300,si
3855B5EA,i000122,no
386044A1,c04011880,si
38777B40,c01008790,si
387F85E3,c01003200,si
3881A91A,c01000300,si
3887A738,c11020010,si
38907170,c04003460,si
38929D33,c04012790,si
389B266B,c02023470,si
38B93EA0,c02027980,si
38BF742E,c07010070,si
38C2CFD5,c11704070,si
38C5A39A,c03032940,si
38CBFED2,c08100070,si
38D801D6,c01006520,si
38D88E9B,c06031030,si
38E5D85F,c04010250,si
38F5572B,c11110030,si
3907C9AD,c03032840,si
391A6BE1,c01006420,si
391E6729,npc2542,no
3927B268,c04010350,si
393627C5,c11090090,si
39373D1C,c11110130,si
393E8ED7,c02023810,si
394FB90B,c06037900,si
3950F704,c04012690,si
3952940A,c03034070,si
397B5497,c02027880,si
39825553,c03033290,si
398AABF0,c03038700,si
399265C7,c05027200,si
39A22E96,c04011980,si
39B51177,c01008690,si
39BDEFD4,c01003300,si
39C846FB,c01010530,si
39D288F8,c11712060,si
39E4F6AF,kt000033,no
39F5103F,c03031750,si
39FEC869,c02026250,si
3A06813D,c03033090,si
3A0E7F9E,c03038500,si
3A2416BB,c04000870,si
3A25CC3D,c05023210_5000,no
3A2F41A0,c02020860,si
3A31C519,c01008490,si
3A393BBA,c01003100,si
3A42B664,c11500260,si
3A43EC0E,c05021830,si
3A4C9295,c01010730,si
3A4FB01A,c02021460,si
3A6C661D,c01005930,si
3A71C451,c03031550,si
3A7A1C07,c02026050,si
3A7FE6CC,c11010070,si
3A869DCF,c11715080,si
3A8B61C9,c11040130,si
3A9EBF8F,c01006620,si
3AA36606,c04010150,si
3AB1359C,c05022720,si
3AB37E68,c11190010,si
3ABE5A3B,c03030050,si
3AD4236A,c04012490,si
3AD64064,c03034270,si
3AE2418F,c11728050,si
3AF95D6D,c07090050,si
3B057D74,c01000100,si
3B14A51E,c04003660,si
3B16495D,c04012590,si
3B1FF205,c02023670,si
3B490BFE,c11040030,si
3B4DD475,c05020350_5000,no
3B5C5AF5,c06031230,si
3B5CD5B8,c01006720,si
3B5F9077,c11721100,si
3B610C31,c04010050,si
3B71145F,c11190110,si
3B735FAB,c05022620,si
3B77A207,c08050070,si
3B818639,c05021930,si
3B8DBD6D,c11737010,si
3B8EF8A2,c01010630,si
3B96DAE2,c11703090,si
3BA67C1A,c05023300,si
3BAE0C2A,c01005830,si
3BB3AE66,c03031450,si
3BB3BC24,c02020890,si
3BB87630,c02026150,si
3BCC15A9,c03038400,si
3BCF335C,c02024490,si
3BD4DB9E,c05027100,si
3BF3AF2E,c01008590,si
3BFFA375,spirit_element_fire_chronicle,no
3C165AD9,c02023270,si
3C1D0DC2,c04003260,si
3C1FE181,c04012190,si
3C2BE8EC,c05021100_5000,no
3C3A1A48,c11717040,si
3C3A5C1A,c05028610_5000,no
3C3E05A6,c11500260,si
3C557D64,c01006320,si
3C55F229,c06031630,si
3C68A4ED,c04010450,si
3C78BC83,c11190510,si
3C87507E,c01010230,si
3C8C9357,c05022680_5000,no
3CB1DEEC,c02026550,si
3CB48FDE,c07160020,si
3CBA06BA,c03031050,si
3CC00522,c08070020,si
3CC5BD75,c03038000,si
3CC69B80,c02024090,si
3CCDCC9B,c04004080,si
3CCF20D8,c04015370,si
3CDD7342,c05027500,si
3CEF5B1D,c03037860,si
3CF2F951,c01003400,si
3CFA07F2,c01008190,si
3CFE7E61,c11902360,si
3CFEACDB,c11060060,si
3D07D742,c03038100,si
3D0D4AEF,c04015270,si
3D1F1975,c05027400,si
3D2A5D65,c11701050,si
3D2D312A,c03037960,si
3D309366,c01003500,si
3D386DC5,c01008090,si
3D3C1456,c11902260,si
3D3CC6EC,c11060160,si
3D453A49,c01010330,si
3D65418C,c06032820,si
3D73B4DB,c02026450,si
3D76E5E9,c07160120,si
3D786C8D,c03031150,si
3D971753,c01006220,si
3D9ED3F0,c01000010,si
3DAACEDA,c04010550,si
3DC4E59B,c04000090,si
3DD430EE,c02023370,si
3DDD8BB6,c04012090,si
3DDF67F5,c04003360,si
3DEB4ED5,c08010030,si
3E05B927,c02025940,si
3E13C33D,c01006020,si
3E2E1AB4,c04010750,si
3E392555,c01009840,si
3E469E9A,c01000810,si
3E4E9E6F,c11230090,si
3E55F38F,c08030032,si
3E595FD8,c04012290,si
3E5BB39B,c04003160,si
3E652FDD,c11732030,si
3E691489,c05024910,si
3E697E0F,edit_avatar08,no
3E779B17,c11260010,si
3E83032C,c03038300,si
3E899E81,c04015070,si
3E8BFD8F,c03033690,si
3E9BCD1B,c05027600,si
3EA257BE,c05020800,si
3EB44708,c01003700,si
3EB702C7,c11724120,si
3EBCB9AB,c01008290,si
3EBE33C0,c08120120,si
3EC1EE27,c01010130,si
3EC66FC1,c06030010,si
3ECAB93C,c07030120,si
3ECB5A6B,c05029810_5000,no
3ED67BC3,npc2520,no
3EDCC326,c04013840,si
3EF760B5,c02026650,si
3EFCB8E3,c03031350,si
3F038410,c01010030,si
3F08D30B,c07030020,si
3F14143F,c08010020,si
3F1EA911,c04013940,si
3F350A82,c02026750,si
3F3BBF71,c04000080,si
3F3ED2D4,c03031250,si
3F41691B,c03038200,si
3F424FEE,c02024290,si
3F42F00E,c11130060,si
3F4918F5,c04004280,si
3F4BF4B6,c04015170,si
3F570A07,c11740020,si
3F59A72C,c05027700,si
3F609EC3,c07100020,si
3F7568F0,c11724020,si
3F762D3F,c01003600,si
3F7C59F7,c08120020,si
3F7ED39C,c01008390,si
3F84F4AD,c01000910,si
3F928EB7,c02023070,si
3F99D9AC,c04003060,si
3F9B35EF,c04012390,si
3FAB7EBE,c05024810,si
3FBB4E2A,c03030880,si
3FC200D0,npc2902,no
3FC7D310,c02025840,si
3FD12647,c06031430,si
3FD1A90A,c01006120,si
3FEC7083,c04010650,si
3FFB4F62,c01009940,si
4004409E,c02026400,si
400F98C8,c03031100,si
4012B5C9,c06032870,si
402212EF,c11708050,si
4030224F,c01001090,si
4030AD02,c06036580,si
4032CE0C,c01010360,si
4046CEAF,c11735080,si
40476723,c01003550,si
404B32A9,c11060130,si
404BE013,c11902230,si
405AC56F,c03037930,si
4068ED30,c05027450,si
40702307,c03038150,si
407ABEAA,c04015220,si
40A3C4AB,c02023320,si
40A893B0,c04003330,si
40B4C6FD,c05021860_5000,no
40D802B2,edit_avatar05,no
40DD3A9F,c04010500,si
40E0E316,c01006270,si
411F50A8,c04010400,si
4122066C,c06031660,si
41228921,c01006370,si
414DEE0D,c11717010,si
4161AE9C,c02023220,si
416AF987,c04003230,si
41850D14,c01003450,si
4189589E,c11060030,si
41898A24,c11902330,si
4198AF58,c03037830,si
419FC317,c11701100,si
41AA8707,c05027550,si
41B24930,c03038050,si
41B7F167,c08070070,si
41B8D49D,c04015320,si
41C37B9B,c07160070,si
41C62AA9,c02026500,si
41F0A43B,c01010260,si
41F2C735,c06036480,si
4201D97A,c01003650,si
42029CB5,c11724070,si
420BADB2,c08120070,si
422E5369,c05027750,si
4235044B,c11130030,si
42369D5E,c03038250,si
423C00F3,c04015120,si
4242FEC7,c02026700,si
42695D54,c04013910,si
42747055,c01010060,si
4276135B,c06036680,si
427F274E,c07030070,si
4284CAC9,c06035990,si
428CBB27,c01009910,si
429B84C6,c04010600,si
42A65D4F,c01006170,si
42A6D202,c06031460,si
42B02755,c02025810,si
42DC8AFB,c05024840,si
42E57AF2,c02023020,si
42EE2DE9,c04003030,si
42F300E8,c01000940,si
430EC21A,c02021510,si
4312DB98,c11732060,si
4325EC2D,c01000110,si
432710C5,c02023120,si
432C47DE,c04003130,si
43316ADF,c01000840,si
4346A0FE,c06035890,si
434ED110,c01009810,si
4359EEF1,c04010700,si
43643778,c01006070,si
43724D62,c02025910,si
438094F0,c02026600,si
438B4CA6,c03031300,si
43AB265F,c06030060,si
43AB3763,c04013810,si
43B4796C,c06036780,si
43B4F621,c01001290,si
43B61A62,c01010160,si
43C3B34D,c01003750,si
43EC395E,c05027650,si
43F4F769,c03038350,si
43FE6AC4,c04015020,si
440AEA5C,c07010120,si
4425604F,c03034020,si
442EB819,c02023520,si
44384D4E,c06037950,si
4440C959,c11110160,si
4450462D,c04010300,si
445F0088,c01000120,si
44609557,c11807190,si
446D9FA4,c01006470,si
44703DE8,c03032810,si
447751A7,c11704120,si
447E60A0,c08100120,si
447F7A79,c08080080,si
4482E47A,c03031700,si
44893C2C,c02026200,si
448ECD0F,c11210090,si
44A57CBD,c11712030,si
44BD5EFD,c01001690,si
44BDD1B0,c06036380,si
44BFB2BE,c01010560,si
44CA1B91,c01003350,si
44E59182,c05027250,si
44F7C218,c04015420,si
44FD5FB5,c03038750,si
450871A6,c01003250,si
4527FBB5,c05027350,si
453F3582,c03038650,si
454B561B,c02026300,si
457DD889,c01010460,si
457FBB87,c06036280,si
4582A36E,c11110060,si
45922C1A,c04010200,si
45A2674B,c05026980,si
45A2FF60,c11807090,si
45AF7ADE,c06031060,si
45AFF593,c01006570,si
45B257DF,c03032910,si
45B53B90,c11704020,si
45BC0A97,c08100020,si
45C8806B,c07010020,si
45D0C111,c06038030,si
45E78535,c04003430,si
45E9D15E,c11500860,si
45ECD22E,c02023420,si
46005642,c08050020,si
4604ABEE,c05022670,si
4604E078,npc1101,no
4606E01A,c11190140,si
46071079,c07020070,si
462B21FD,c01006770,si
462BAEB0,c06031260,si
463EFFBB,c11040060,si
464CC31F,c07090100,si
464EDFFE,c07010010,si
4657DFFD,c11728100,si
4663515B,c04003630,si
46680640,c02023620,si
467E1CC7,c01000010_5000,no
468CA5C8,c01003050,si
469188C9,c04000920,si
46A32FDB,c05027150,si
46BBE1EC,c03038450,si
46CF8275,c02026100,si
46D9F86F,c01005860,si
46F6727C,c05021960,si
46FA4928,c11737040,si
46FA7FEA,c05028550_5000,no
46FB6FE9,c06036080,si
47063014,c03031500,si
47081289,c11010020,si
470A1961,c11210290,si
470DE842,c02026000,si
471B9258,c01005960,si
47297877,c04001310_5000,no
4734184B,c05021860,si
4738445F,c02021430,si
473905DE,c06036180,si
47398A93,c01001490,si
473B66D0,c01010760,si
4740CCA1,c02029500,si
47436172,c06030140_5000,no
474ECFFF,c01003150,si
4753E2FE,c04000820,si
4758B5E5,c02020830,si
476145EC,c05027050,si
47798BDB,c03038550,si
4783BEA8,c02021310,si
478E03CC,c04002490_5000,no
47A1B421,c03034220,si
47A8E4CA,npc0603,no
47AA6C77,c02023720,si
47B5C6AB,edit_avatar01,no
47C23C75,c08050120,si
47C48A2D,c11190040,si
47D313A5,c03030020,si
47D49243,c04010100,si
47E94BCA,c01006670,si
47EA0E05,c11721050,si
47FC958C,c11040160,si
4805A9CC,c04010800,si
4809DC7B,c07130010,si
4812962D,c01009710,si
4814D147,c11070510,si
481A688E,c01002280,si
481AE7C3,c06035790,si
4825D209,c03032310,si
482E0A5F,c02025610,si
4842A7F1,c05024640,si
486D2DE2,c01000740,si
4882563C,c03037430,si
4882D971,c04000120,si
4892C11F,c11180060,si
48947747,c08040100,si
489A980B,c05028130,si
489FF470,c01003850,si
48AADEBE,c11050140,si
48B07E63,c05027950,si
48B0E648,c11806040,si
48BC4537,c11731070,si
48C1FA6A,c04000080_5200,no
48C3FEF8,c11738020,si
48C53046,npc2903,no
48CAA9D7,c01005060,si
48D8E21A,c07080020,si
48DCD3CD,c02026900,si
48E523C4,c05021160,si
48F635A5,c02029160,si
48F7705E,c04013710,si
4903905D,c04000080_5300,no
4908C3E0,c01005160,si
491353CE,c04002900_5000,no
491B92F4,c07100080,si
491EB9FA,c02026800,si
492749F3,c05021060,si
49345F92,c02029060,si
49351A69,c04013610,si
49403C0B,c03037530,si
4940B346,c04000020,si
49427AFE,c04000030_5000,no
4950AB28,c11180160,si
4958F23C,c05028030,si
495D9E47,c01003950,si
4968B489,c11050040,si
496E4E99,edit_avatar09,no
49721454,c05027850,si
49929E5C,c04016130,si
499EC7EC,c02021510,si
49AC021A,c11727060,si
49AF47D5,c01000640,si
49B9F8ED,c05021910_5000,no
49C7C3FB,c04010900,si
49D0FC1A,c01009610,si
49D88DF4,c06035690,si
49DC7B2A,c11908170,si
49E7B83E,c03032210,si
49EC6068,c02025710,si
4A203F88,c04003700_5100,no
4A23E972,c11250130,si
4A2B93BB,c01000440,si
4A542874,c01009410,si
4A5C599A,c06035490,si
4A636C50,c03032010,si
4A68B406,c02025510,si
4A874433,c04000080_5100,no
4A8C178E,c01005360,si
4A8C98C3,c06032670,si
4AA7CE21,c07050080,si
4AB08BFC,c02029260,si
4AB1CE07,c04013410,si
4AC46728,c04000220,si
4AC4E865,c03037730,si
4AD4E85C,c11100040,si
4ADC2652,c05028230,si
4B060D1F,c04000320,si
4B068252,c03037630,si
4B16826B,c11100140,si
4B211A95,c11714100,si
4B282B92,c08110100,si
4B393530,c11500260,si
4B452E04,c04000080_5000,no
4B48FE9C,c05020710_5000,no
4B4E7DB9,c01005260,si
4B619D06,c02021500,si
4B73A430,c04013510,si
4B964243,c01009510,si
4B9E33AD,c06035590,si
4B9EBCE0,c01002080,si
4BA10667,c03032110,si
4BA88D92,c11120510,si
4BAADE31,c02025410,si
4BBC2B66,c06031860,si
4BE18345,c11250030,si
4BE255BF,c04003700_5000,no
4BE85000,c11736090,si
4BE9F98C,c01000540,si
4BECD0C2,c02021310,si
4BEF0471,c02021480,si
4BF3378F,c11702010,si
4C0F2A8E,c03037230,si
4C0FA5C3,c04000720,si
4C4490AA,c11722040,si
4C47D565,c01005660,si
4C6721ED,c01010860,si
4C6835DA,c02021100,si
4C7A0CEC,c04013110,si
4C97143C,c01002480,si
4C979B71,c06035190,si
4C9A86E4,c05022870,si
4C9FEA9F,c01009110,si
4CA05018,c03039080,si
4CA0D52D,c07090020,si
4CA1254E,c11120110,si
4CA376ED,c02025010,si
4CA8AEBB,c03032510,si
4CB50CF7,c01006970,si
4CB89E2F,c05026580,si
4CCFDB43,c05024040,si
4CD1D169,c02021210,si
4CE0DE1D,c06037450,si
4CEB064B,c07020150,si
4CF62B4A,c02023820,si
4CFD7C51,c04003830,si
4D223B67,c01000040,si
4D296C7C,c07020050,si
4D300BC7,c11709080,si
4D34417D,c02023920,si
4D54D787,c11734050,si
4D55F146,c06035090,si
4D5874F8,c11803060,si
4D5A4A01,c11170090,si
4D5D80A8,c01009010,si
4D5DE680,c08130050,si
4D611CDA,c02025110,si
4D623A2F,c03039180,si
4D634F79,c11120010,si
4D6AC48C,c03032410,si
4D7766C0,c01006870,si
4D85BF52,c01005760,si
4DA54BDA,c01010960,si
4DB866DB,c04013010,si
4DCD40B9,c03037330,si
4DCDCFF4,c04000620,si
4DD58E8E,c05028630,si
4DF01500,c05028490_5000,no
4E016B3C,c01005560,si
4E01E471,c06032070,si
4E0C61CF,c11804080,si
4E1BA53F,c11707030,si
4E1CC970,c03031900,si
4E2373F7,c01001890,si
4E2EE12F,c05021460,si
4E3CB2B5,c04013210,si
4E491B9A,c04000420,si
4E4994D7,c03037130,si
4E515AE0,c05028430,si
4E6372BF,c03038950,si
4EA6EF09,c01000240,si
4ED12528,c06035290,si
4ED954C6,c01009210,si
4EDF13AC,c11070010,si
4EE1BA55,c08060050,si
4EE616D4,c11020090,si
4EEE10E2,c03032610,si
4EFBC29E,c05020140,si
4F0BE212,c11711020,si
4F134F1F,c06035390,si
4F13C052,c01002680,si
4F1B3EF1,c01009310,si
4F1D799B,c11070110,si
4F27A283,c02025210,si
4F2C7AD5,c03032710,si
4F3C4A41,c05026780,si
4F61AC70,c02021510,si
4F64853E,c01000340,si
4F7459DD,c11718070,si
4F8B71AD,c04000520,si
4F8BFEE0,c03037030,si
4F9330D7,c05028530,si
4FA11888,c03038850,si
4FC3010B,c01005460,si
4FD9CF08,c11707130,si
4FEC8B18,c05021560,si
4FF741FA,c05028420_5000,no
4FFED882,c04013310,si
5000A3B5,c07100090,si
500588BB,c02026810,si
5013F2A1,c01005170,si
502E2B28,c04013600,si
502F6ED3,c02029070,si
503C78B2,c05021070,si
5043C37D,c05028020,si
5046AF06,c01003940,si
504D2C31,c08040010,si
505B0D4A,c03037520,si
505B8207,c04000030,si
50692515,c05027840,si
507385C8,c11050050,si
5085C785,npc0382,no
5085F6AD,c02021500,si
50B47694,c01000650,si
50B7335B,c11727070,si
50C3BCB5,c06035680,si
50C74A6B,c11908160,si
50CBCD5B,c01009600,si
50DCF2BA,c04010910,si
50F75129,c02025700,si
50F81E4B,c04003250_5100,no
50F8C717,c05023300_5000,no
510159CF,c01002290,si
5101D682,c06035780,si
5105205C,c11908060,si
5109A76C,c01009700,si
510FE006,c11070500,si
511E988D,c04010810,si
51353B1E,c02025600,si
513A747C,c04003250_5000,no
513EE348,c03032300,si
515996B0,c05024650,si
517335ED,c02021100,si
51761CA3,c01000750,si
5181A94A,c05028120,si
5184C531,c01003840,si
5189F05E,c11180070,si
518F4606,c08040110,si
5199677D,c03037420,si
5199E830,c04000130,si
51A77476,c11731060,si
51AB4F22,c05027940,si
51ABD709,c11806050,si
51B1EFFF,c11050150,si
51C3D35B,c07080030,si
51C7E28C,c02026910,si
51D19896,c01005070,si
51D8CFB9,c11738030,si
51EC411F,c04013700,si
51ED04E4,c02029170,si
520DB32A,c11100150,si
521D3C5E,c04000330,si
521DB313,c03037620,si
52331AD3,c08110110,si
52554CF8,c01005270,si
52689571,c04013500,si
527AAC47,c02021510,si
528502EC,c06035580,si
52858DA1,c01002090,si
528D7302,c01009500,si
52A71A27,c06031870,si
52B1EF70,c02025400,si
52B3BCD3,c11120500,si
52BA3726,c03032100,si
52F2C8CD,c01000550,si
52F36141,c11736080,si
52F43530,c02021490,si
52FAB204,c11250020,si
532A6CF9,c11702100,si
53302DB7,c06037140,si
5330A2FA,c01000450,si
5338D833,c11250120,si
534768DB,c06035480,si
534F1935,c01009400,si
53738547,c02025500,si
539726CF,c01005370,si
53AAFF46,c04013400,si
53ABBABD,c02029270,si
53BCFF60,c07050090,si
53C71713,c05028220,si
53CFD91D,c11100050,si
53DF5669,c04000230,si
53DFD924,c03037720,si
53EDB7D0,c07130010,si
53F170E4,c08110010,si
53F841E3,c11714010,si
