# Para traducir los marcadores <FUL:ENDO> de los textos del juego.
# clave = el apellido en romaji en mayusculas, que es lo que
# el marcador lleva dentro. Lo genera
# herramientas/construir_marcadores.py (NOTAS O-98).
clave,tipo,completo,nombre,apellido
DOMITRISOBIROV,persona,Domitri Sobirov,Domitri,Sobirov
DOMON,persona,Shearer,Shearer,Shearer
DOMON ASUKA,persona,Bobby Shearer,Bobby,Shearer
DOMONASUKA,persona,Bobby Shearer,Bobby,Shearer
DONABE,persona,Prosper,,
DONAPALE,persona,DONNELL,,
DONEL,persona,,,
DONELL,persona,Ronaldo,,
DONELL GOTTI,persona,Ronaldo Ramallets,,
DONELLGOTTI,persona,Ronaldo Ramallets,,
DONGHYUK,persona,San-bull,,
DONGHYUK Y JIWON,persona,Lee y Bull-kot,,
DONGHYUKYJIWON,persona,Lee y Bull-kot,,
DONJI,persona,Ross Siddon,Ross,Siddon
DONKICHI,persona,Fizz,,
DONOLZEN,persona,Rondes Domica,Rondes,Domica
DONTEN,persona,NIMBUS,,
DONTEN GOROGORO,persona,Cumulo Nimbus,,
DONTENGOROGORO,persona,Cumulo Nimbus,,
DOOYOON,persona,Hong,,
DORIAN,persona,LeGrand,,
DORIKI,persona,,,
DORIKI TETSUJI,persona,Percy Wrench,,
DORIKITETSUJI,persona,Percy Wrench,,
DORIM,persona,,,
DORN,persona,DAWN,,
DORO MIGHT,persona,Doro Might,,
DOROMIGHT,persona,,,
DORON NABOON,persona,Romborina Drohn,,
DORONNABOON,persona,Romborina Drohn,,
DOS CHAVALES,persona,Dos chavales,,
DOSCHAVALES,persona,Dos chavales,,
DOSU,persona,FIELDS,,
DOSU KOI,persona,Daisy Fields,,
DOSUKOI,persona,Daisy Fields,,
DOTAI,persona,Uni y Sync,Uni,Sync
DOTMAR,persona,Tricks,,
DOTMAR TRIX,persona,Dotmar Tricks,,
DOTMARTRIX,persona,Dotmar Tricks,,
DOWA,persona,ZYPHAR,,
DOYON,persona,Hwang,,
DOZAN,persona,,,
DOZAN FUMI,persona,Val Cano,,
DOZANFUMI,persona,Val Cano,,
DRACHE,persona,Gunther,,
DRACHE GUNTER,persona,Drachen Gunther,,
DRACHEGUNTER,persona,Drachen Gunther,,
DRAGO,persona,Drago,,
DRAGO HILL,persona,Drago Hill,,
DRAGOHILL,persona,Drago Hill,,
DRAGON,persona,Dragon,,
DRAGONFLY,persona,Icarus,,
DREAM,persona,Dreams,,
DREIS,persona,,,
DRENE,persona,,,
DRESITE,persona,Ambrose,Ambrose,Ambrose
DRESITE TAKATSUJI,persona,Hawke Ambrose,Hawke,Ambrose
DRESITETAKATSUJI,persona,Hawke Ambrose,Hawke,Ambrose
DRILL,persona,,,
DRISCO,persona,MAYSTROV,,
DRISS,persona,,,
DROLL,persona,,,
DRUM,persona,Drummond,,
DRY KARWACK,persona,Dry Karwack,,
DRYKARWACK,persona,Dry Karwack,,
DUAL WIELD,persona,Gwen,,
DUALWIELD,persona,Gwen,,
DUCKSGAN,persona,,,
DUCKSGAN BARVIEW,persona,Ducksquiggan Barboyle,Ducksquiggan,Barboyle
DUCKSGAN BEEVIEW,persona,Ducksquiggan Carboyle,Ducksquiggan,Carboyle
DUCKSGAN BERVIEW,persona,Ducksquiggan Zarboyle,Ducksquiggan,Zarboyle
DUCKSGAN BOOVIEW,persona,Ducksquiggan Tarboyle,Ducksquiggan,Tarboyle
DUCKSGAN BOWVIEW,persona,Ducksquiggan Garboyle,Ducksquiggan,Garboyle
DUCKSGANBARVIEW,persona,Ducksquiggan Barboyle,Ducksquiggan,Barboyle
DUCKSGANBEEVIEW,persona,Ducksquiggan Carboyle,Ducksquiggan,Carboyle
DUCKSGANBERVIEW,persona,Ducksquiggan Zarboyle,Ducksquiggan,Zarboyle
DUCKSGANBOOVIEW,persona,Ducksquiggan Tarboyle,Ducksquiggan,Tarboyle
DUCKSGANBOWVIEW,persona,Ducksquiggan Garboyle,Ducksquiggan,Garboyle
DUFF,persona,A'ddah,A'ddah,A'ddah
DUFF NUTTER,persona,A'ddah,A'ddah,A'ddah
DUFFNUTTER,persona,A'ddah,A'ddah,A'ddah
DUGONG,persona,Gordon,,
DUMERILLY ALTAM,persona,Durmali Altos,,
DUMERILLYALTAM,persona,Durmali Altos,,
DUST,persona,Tango,,
DUST GALES,persona,Tango Ahmedov,,
DUSTGALES,persona,Tango Ahmedov,,
DYKE,persona,Dynamo,,
DYKE DYNAMO,persona,Drake Dynamo,,
DYKEDYNAMO,persona,Drake Dynamo,,
DYLAN,persona,Keats,Keats,Keats
DYLAN KEITH,persona,Dylan Keats,Dylan,Keats
DYLANKEITH,persona,Dylan Keats,Dylan,Keats
DYNAMO,persona,DYNAMO,,
DÍAZ,persona,ROS,,
E-E-ENDO,persona,Ma-Ma-Mark Evans,,
EAR ZUCK,persona,Iyer Zuck,,
EARTH ELEVEN,persona,Earth Eleven,,
EARTHELEVEN,persona,Earth Eleven,,
EARZUCK,persona,Iyer Zuck,,
EAS TERMOAI,persona,Eas Tarmo,,
EASTER,persona,NOYSTER,,
EASTERMOAI,persona,Eas Tarmo,,
EBA,persona,,,
EBA AEKA,persona,Holly Marx,,
EBAAEKA,persona,Holly Marx,,
EBATA,persona,,,
EBATA YO,persona,Lyle O'Day,,
EBATAYO,persona,Lyle O'Day,,
EBI,persona,Shrimplin,,
EBIHARA,persona,,,
EBIHARA NATSUKI,persona,Nino Gamberini,,
EBIHARANATSUKI,persona,Nino Gamberini,,
EBINA,persona,SHRIMPLIN,,
EBINA YASUHIRO,persona,Scamp Shrimplin,,
EBINAYASUHIRO,persona,Scamp Shrimplin,,
EBINUMA,persona,,,
EBINUMA KEISHI,persona,Readon Booke,,
EBINUMAKEISHI,persona,Readon Booke,,
EBISU,persona,,,
EBISU JOGO,persona,Ebiss Marlowe,,
EBISU MASAYOSHI,persona,Ian Stager,,
EBISUHARA,persona,DOWD,,
EBISUHARA HAJIME,persona,Saul Dowd,,
EBISUHARAHAJIME,persona,Saul Dowd,,
EBISUJOGO,persona,Ebiss Marlowe,,
EBISUMASAYOSHI,persona,Ian Stager,,
ECHIZEN,persona,JARED,,
ECHIZEN TOKA,persona,Jan Jared,,
ECHIZENTOKA,persona,Jan Jared,,
ECINE,persona,ESHEN,,
EDA,persona,FINN,,
EDA SHUNJI,persona,Randolf Finn,,
EDAKI,persona,,,
EDAKI SAKI,persona,Cole Ebony,,
EDAKISAKI,persona,Cole Ebony,,
EDAMOTO,persona,Brightley,Brightley,Brightley
EDAMOTO TERUYUKI,persona,Terrell Brightley,Terrell,Brightley
EDAMOTOTERUYUKI,persona,Terrell Brightley,Terrell,Brightley
EDARNA NAFSHI,persona,Edana Naves,,
EDARNANAFSHI,persona,Edana Naves,,
EDASHUNJI,persona,Randolf Finn,,
EDDIE,persona,Poindexter,Poindexter,Poindexter
EDDIE BARLAND,persona,Eddie Burroughs,,
EDDIE HOWARD,persona,Norbert Poindexter,Norbert,Poindexter
EDDIEBARLAND,persona,Eddie Burroughs,,
EDDIEHOWARD,persona,Norbert Poindexter,Norbert,Poindexter
EDGAR,persona,Partinus,Partinus,Partinus
EDGAR PARTINUS,persona,Edgar Partinus,Edgar,Partinus
EDGARPARTINUS,persona,Edgar Partinus,Edgar,Partinus
EDGE,persona,Ripper,,
EDGE RIPPER,persona,Edge Ripper,,
EDGERIPPER,persona,Edge Ripper,,
EDINBURGH,persona,Eddie,,
EDMOND,persona,Edmond,,
EDMOND PIAS,persona,Edmond Pias,,
EDMONDPIAS,persona,Edmond Pias,,
EDOMARU,persona,Eoin,,
ED⇔E,persona,ed⇔e,,
EEL,persona,Tenn,,
EEL MEL,persona,Ji Tenn,,
EELMEL,persona,Ji Tenn,,
EFU,persona,DUPREE,,
EFU HAJIME,persona,Graham Dupree,,
EFUHAJIME,persona,Graham Dupree,,
EGGPLANT,persona,Moos,,
EGI,persona,,,
EGI SHIGESUNA,persona,Newt Tangels,,
EGISHIGESUNA,persona,Newt Tangels,,
EGUCHI,persona,,,
EGUCHI ANGO,persona,Jayden Durance,,
EGUCHIANGO,persona,Jayden Durance,,
EHIME,persona,,,
EHIME YASUHARU,persona,Frank Meyer,,
EHIMEYASUHARU,persona,Frank Meyer,,
EI MANTAREY,persona,Eli Mantarey,,
EIAI,persona,,,
EIAI RANYO,persona,Alexei Einmeister,,
EIAIRANYO,persona,Alexei Einmeister,,
EICHI,persona,Hudson Headland,Hudson,Headland
EIGA,persona,Fouad,,
EIGEN,persona,BINDER,,
EIGEN UNO,persona,Becks Binder,,
EIGENUNO,persona,Becks Binder,,
EIJI,persona,Sesame,Sesame,Sesame
EIKO,persona,Elaine Sereno,Elaine,Sereno
EIMANTAREY,persona,Eli Mantarey,,
EIMU,persona,Aimes,Aimes,Aimes
EINAM,persona,,,
EIRI,persona,,,
EIRI ANRI,persona,Eilidh Innes,,
EIRIANRI,persona,Eilidh Innes,,
EISAI,persona,,,
EISAI KYOICHI,persona,Tom Jefferson,,
EISAIKYOICHI,persona,Tom Jefferson,,
EISEI,persona,Lite,,
EISUKE,persona,Syd Faircrest,Syd,Faircrest
EIVA,persona,Ava,Ava,Ava
EIYOSHI,persona,Powder,,
EIYU,persona,Brent,,
EJI,persona,,,
EJI NOBUYA,persona,Doug Baughan,,
EJIMA,persona,,,
EJIMA KAZUYA,persona,Dwight Whittaker,,
EJIMA YUTO,persona,Art Teest,,
EJIMAKAZUYA,persona,Dwight Whittaker,,
EJIMAYUTO,persona,Art Teest,,
EJINOBUYA,persona,Doug Baughan,,
EKADEL,persona,,,
EKIMICHI,persona,,,
EKIMICHI MITSURU,persona,Al Plates,,
EKIMICHIMITSURU,persona,Al Plates,,
EKO,persona,,,
EKO TAKAO,persona,Reese Ickle,,
EKOTAKAO,persona,Reese Ickle,,
EL SEGUNDO,persona,El Segundo,,
ELEMENKO,persona,KAPRICHYOV,,
ELF,persona,Sylvain,,
ELFEL,persona,,,
ELGAIN,persona,VARGAN,,
ELITE,persona,Erwin,,
ELIZA,persona,Eliza,,
ELIZA MANNAN,persona,Eliza Mannan,,
ELIZAMANNAN,persona,Eliza Mannan,,
ELLE SION,persona,Zato Memmor,,
ELLESION,persona,Zato Memmor,,
ELMA,persona,Camilla,,
ELMA CHITI,persona,Camilla Gonzaga,,
ELMACHITI,persona,Camilla Gonzaga,,
ELOIS,persona,HERVAUD,,
ELSEGUNDO,persona,El Segundo,,
ELVAIN,persona,Elvain,Elvain,Elvain
ELYSION,persona,Zato,,
EMA,persona,Imogen,,
EMCEE,persona,EMCEE,,
EMELIA,persona,Amara,,
EMELIA MIRA,persona,Amara Myles,,
EMELIAMIRA,persona,Amara Myles,,
EMERALD,persona,Emerald,,
EMERICO,persona,José,,
EMERICO ROLCA,persona,José Mari González,,
EMERICOROLCA,persona,José Mari González,,
EMI,persona,Ell,,
EMI ULU,persona,Wun Ell,,
EMIKO,persona,Nathaniel,,
EMILIO,persona,Raúl,,
EMILIO LUHAN,persona,Raúl Parejo,,
EMILIOLUHAN,persona,Raúl Parejo,,
EMIULU,persona,Wun Ell,,
EMNATOR,persona,Emnator,Emnator,Emnator
EMOSUKE,persona,Emosuke,,
EMOTO,persona,,,
EMOTO YUKINORI,persona,Junior Gambit,,
EMOTOYUKINORI,persona,Junior Gambit,,
EMPLEADA AGRADABLE,persona,Empleada agradable,,
EMPLEADA ATENTA,persona,Empleada atenta,,
EMPLEADA DE CAFETERÍA,persona,Empleada de cafetería,,
EMPLEADA EN DESCANSO,persona,Empleada en descanso,,
EMPLEADA TRANQUILA,persona,Empleada tranquila,,
EMPLEADAAGRADABLE,persona,Empleada agradable,,
EMPLEADAATENTA,persona,Empleada atenta,,
EMPLEADADECAFETERÍA,persona,Empleada de cafetería,,
EMPLEADAENDESCANSO,persona,Empleada en descanso,,
EMPLEADATRANQUILA,persona,Empleada tranquila,,
EMPLEADO ALEGRE,persona,Empleado alegre,,
EMPLEADO CUIDADOSO,persona,Empleado cuidadoso,,
EMPLEADO ENERGÉTICO,persona,Empleado energético,,
EMPLEADOALEGRE,persona,Empleado alegre,,
EMPLEADOCUIDADOSO,persona,Empleado cuidadoso,,
EMPLEADOENERGÉTICO,persona,Empleado energético,,
EMPOLLONES,sitio,Empollones,Empollones,Empollones
EMPOLLÓN PEREZOSO,persona,Empollón perezoso,,
EMPOLLÓNPEREZOSO,persona,Empollón perezoso,,
EMPRESARIO EXPERIMENTADO,persona,Empresario experimentado,,
EMPRESARIO NOVATO,persona,Empresario novato,,
EMPRESARIOEXPERIMENTADO,persona,Empresario experimentado,,
EMPRESARIONOVATO,persona,Empresario novato,,
EMU,persona,Lockin,,
ENA,persona,,,
ENA KAZUKI,persona,Cliff Tomlinson,,
ENAKAZUKI,persona,Cliff Tomlinson,,
ENAMI,persona,,,
ENAMI MICHIRU,persona,Darren Gouger,,
ENAMI SHIZUE,persona,Tam Boyish,,
ENAMIMICHIRU,persona,Darren Gouger,,
ENAMISHIZUE,persona,Tam Boyish,,
ENARI,persona,RAPPERTON,,
ENARI NANARI,persona,Tessa Rapperton,,
ENARINANARI,persona,Tessa Rapperton,,
ENBO,persona,STAYRE,,
ENBO TO,persona,Freddie Stayre,,
ENBOTO,persona,Freddie Stayre,,
ENDEAVOR,persona,Masaichi,,
ENDERS,persona,ENDERS,,
ENDO,persona,Evans,Evans,Evans
ENDO & TENMA,persona,Mark y Arion,,
ENDO DAISUKE,persona,David Evans,David,Evans
ENDO HARU,persona,Harper Evans,Harper,Evans
ENDO KANON,persona,Canon Evans,Canon,Evans
ENDO MAMORU,persona,Mark Evans,Mark,Evans
ENDO NATSUMI,persona,Nelly Evans,Nelly,Evans
ENDO Y COMPAÑÍA,persona,Mark y compañía,,
ENDO&TENMA,persona,Mark y Arion,,
"ENDO, ICHINOSE & DOMON",persona,"Mark, Erik y Bobby",,
"ENDO, NISHIKAGE Y OSAMU",persona,"Mark, Duske y Dave",,
"ENDO,ICHINOSE&DOMON",persona,"Mark, Erik y Bobby",,
"ENDO,NISHIKAGEYOSAMU",persona,"Mark, Duske y Dave",,
ENDODAISUKE,persona,David Evans,David,Evans
ENDOHARU,persona,Harper Evans,Harper,Evans
ENDOKANON,persona,Canon Evans,Canon,Evans
ENDOMAMORU,persona,Mark Evans,Mark,Evans
ENDONATSUMI,persona,Nelly Evans,Nelly,Evans
ENDORPHIN,persona,ELPH,,
ENDOYCOMPAÑÍA,persona,Mark y compañía,,
ENDURANCE,persona,Enduro,,
ENFERMERA,persona,Enfermera,,
ENGIL,persona,,,
ENGO,persona,Eldon,,
ENIMO,persona,,,
ENNOSUKE,persona,Marcel,,
ENO,persona,HINAULT,,
ENOGUCHI,persona,LOVENTHAL,,
ENOGUCHI AIJIRO,persona,Garrick Loventhal,,
ENOGUCHIAIJIRO,persona,Garrick Loventhal,,
ENOKIDO,persona,,,
ENOKIDO ATSUSHI,persona,Herc Bigsby,,
ENOKIDOATSUSHI,persona,Herc Bigsby,,
ENOMOTO,persona,,,
ENOMOTO TAKESHI,persona,Ness Lockley,,
ENOMOTOTAKESHI,persona,Ness Lockley,,
ENOREL,persona,,,
ENRICO,persona,Oconti,,
ENRICO OLIVIER,persona,Enrico Oconti,,
ENRICOOLIVIER,persona,Enrico Oconti,,
ENRIQUE,persona,ENRIQUE,,
ENSUI,persona,,,
ENSUI MITSUO,persona,Bonza Barnett,,
ENSUIMITSUO,persona,Bonza Barnett,,
ENTRENADOR ESCOLAR,persona,Entrenador escolar,,
ENTRENADORESCOLAR,persona,Entrenador escolar,,
ENUEL,persona,,,
ENYO,persona,STARLET,,
ENYO SEINA,persona,Grace Starlet,,
ENYOSEINA,persona,Grace Starlet,,
ENZAN,persona,,,
ENZAN SUSHI,persona,Bren Techner,,
ENZANSUSHI,persona,Bren Techner,,
ENZAWA,persona,,,
ENZAWA TOKIMASA,persona,Casper Forman,,
ENZAWATOKIMASA,persona,Casper Forman,,
EON,persona,Eon,,
EON MCKEANE,persona,Eon McKeane,,
EONMCKEANE,persona,Eon McKeane,,
EOSIN,persona,Eosram,,
EOSIN REESE,persona,Eosram Reeves,,
EOSINREESE,persona,Eosram Reeves,,
EPHEMERA,persona,EPHEMERA,,
EQUIPO ENDO,persona,Equipo Mark,,
EQUIPO K,sitio,Equipo D,Equipo D,Equipo D
EQUIPO KIDO,persona,Equipo Jude,,
EQUIPO SENNO DE ALUMNOS MAYORES,persona,Equipo Lilac de alumnos mayores,,
EQUIPOENDO,persona,Equipo Mark,,
EQUIPOK,sitio,Equipo D,Equipo D,Equipo D
EQUIPOKIDO,persona,Equipo Jude,,
EQUIPOSENNODEALUMNOSMAYORES,persona,Equipo Lilac de alumnos mayores,,
ERASER,persona,Robbie,,
EREKI,persona,Spark,,
EREMIN,persona,Eremin,Eremin,Eremin
EREN,persona,DERMOTT,,
EREN NORIHITO,persona,Paco Dermott,,
ERENNORIHITO,persona,Paco Dermott,,
ERIC,persona,Purpleton,,
ERIC ENDORPHIN,persona,Sylvain Elph,,
ERIC PURPLETON,persona,Eric Purpleton,,
ERICENDORPHIN,persona,Sylvain Elph,,
ERICPURPLETON,persona,Eric Purpleton,,
ERIS,persona,Taranis,,
ERISA,persona,Punter,,
ERISE,persona,Mia,,
ERISU,persona,VIRGA,,
ERISU JUNSEI,persona,Taranis Virga,,
ERISUGA,persona,,,
ERISUGA MOTOYA,persona,Hapleigh Mistakian,,
ERISUGAMOTOYA,persona,Hapleigh Mistakian,,
ERISUJUNSEI,persona,Taranis Virga,,
ERN,persona,Fliedner,,
ERNEST CHERRYPIE,persona,Neville Foodcake,,
ERNESTCHERRYPIE,persona,Neville Foodcake,,
ERNST FRODENO,persona,Ernst Fliedner,,
ERNSTFRODENO,persona,Ernst Fliedner,,
EROS,persona,Eros,,
ERUE,persona,Suay,,
ERUE SUAI,persona,Elu Suay,,
ERUESUAI,persona,Elu Suay,,
ERUSAKI,persona,Headland,Headland,Headland
ERUSAKI EICHI,persona,Hudson Headland,Hudson,Headland
ERUSAKIEICHI,persona,Hudson Headland,Hudson,Headland
ERUZA,persona,Shuffle,,
ERWIN,persona,Völz,,
ERWIN VOLZ,persona,Erwin Völz,,
ERWINVOLZ,persona,Erwin Völz,,
ERYU,persona,SWIFT,,
ERYU AZUHO,persona,Irina Swift,,
ERYUAZUHO,persona,Irina Swift,,
ESCA BAMEL,persona,Escavan Malice,,
ESCABA,persona,Malice,,
ESCABAMEL,persona,Escavan Malice,,
ESCAPE,persona,O'Hare,,
ESCAQUEADOR NATO,persona,Escaqueador nato,,
ESCAQUEADORNATO,persona,Escaqueador nato,,
ESCÉPTICA DE LAS LEYENDAS,persona,Escéptica de las leyendas,,
ESCÉPTICADELASLEYENDAS,persona,Escéptica de las leyendas,,
ESHIN,persona,,,
ESPOSA DEDICADA,persona,Esposa dedicada,,
ESPOSA INVITADA,persona,Esposa invitada,,
ESPOSADEDICADA,persona,Esposa dedicada,,
ESPOSAINVITADA,persona,Esposa invitada,,
ESPOSO INVITADO,persona,Esposo invitado,,
ESPOSOINVITADO,persona,Esposo invitado,,
ESTADIO BALSA,sitio,Estadio Balsa,Estadio Balsa,Estadio Balsa
ESTADIO CÉNIT,sitio,Estadio Cénit,Estadio Cénit,Estadio Cénit
ESTADIO CÓNDOR,sitio,Estadio Cóndor,Estadio Cóndor,Estadio Cóndor
ESTADIO DESIERTO,sitio,Estadio Desierto,Estadio Desierto,Estadio Desierto
ESTADIO HIDRA,sitio,Estadio Hidra,Estadio Hidra,Estadio Hidra
ESTADIO ICEBERG,sitio,Estadio Iceberg,Estadio Iceberg,Estadio Iceberg
ESTADIO LICÁNTROPO,sitio,Estadio Licántropo,Estadio Licántropo,Estadio Licántropo
ESTADIO MONUMENTAL,sitio,Estadio Monumental,Estadio Monumental,Estadio Monumental
ESTADIO MUNICIPAL,sitio,Estadio Municipal,Estadio Municipal,Estadio Municipal
ESTADIO PINBALL,sitio,Estadio Pinball,Estadio Pinball,Estadio Pinball
ESTADIO RAGNAROK,sitio,Estadio Ragnarok,Estadio Ragnarok,Estadio Ragnarok
ESTADIO ROCADURA,sitio,Estadio Rocadura,Estadio Rocadura,Estadio Rocadura
ESTADIO SANTUARIO,sitio,Estadio Santuario,Estadio Santuario,Estadio Santuario
ESTADIO TURBINA,sitio,Estadio Turbina,Estadio Turbina,Estadio Turbina
ESTADIO ZEUS,sitio,Estadio Zeus,Estadio Zeus,Estadio Zeus
ESTADIOBALSA,sitio,Estadio Balsa,Estadio Balsa,Estadio Balsa
ESTADIOCÉNIT,sitio,Estadio Cénit,Estadio Cénit,Estadio Cénit
ESTADIOCÓNDOR,sitio,Estadio Cóndor,Estadio Cóndor,Estadio Cóndor
ESTADIODESIERTO,sitio,Estadio Desierto,Estadio Desierto,Estadio Desierto
ESTADIOHIDRA,sitio,Estadio Hidra,Estadio Hidra,Estadio Hidra
ESTADIOICEBERG,sitio,Estadio Iceberg,Estadio Iceberg,Estadio Iceberg
ESTADIOLICÁNTROPO,sitio,Estadio Licántropo,Estadio Licántropo,Estadio Licántropo
ESTADIOMONUMENTAL,sitio,Estadio Monumental,Estadio Monumental,Estadio Monumental
ESTADIOMUNICIPAL,sitio,Estadio Municipal,Estadio Municipal,Estadio Municipal
ESTADIOPINBALL,sitio,Estadio Pinball,Estadio Pinball,Estadio Pinball
ESTADIORAGNAROK,sitio,Estadio Ragnarok,Estadio Ragnarok,Estadio Ragnarok
ESTADIOROCADURA,sitio,Estadio Rocadura,Estadio Rocadura,Estadio Rocadura
ESTADIOSANTUARIO,sitio,Estadio Santuario,Estadio Santuario,Estadio Santuario
ESTADIOTURBINA,sitio,Estadio Turbina,Estadio Turbina,Estadio Turbina
ESTADIOZEUS,sitio,Estadio Zeus,Estadio Zeus,Estadio Zeus
ESTEBAN,persona,Caroso,,
ESTEBAN CARLOS,persona,Enrique Caroso,,
ESTEBANCARLOS,persona,Enrique Caroso,,
ESTEVE,persona,CANALES,,
ESTOICO DE NAGUMOHARA,persona,Estoico de South Cirrus,,
ESTOICODENAGUMOHARA,persona,Estoico de South Cirrus,,
ESTUDIANTE ACTIVISTA,persona,Estudiante activista,,
ESTUDIANTE AFICIONADO AL KARAOKE,persona,Estudiante aficionado al karaoke,,
ESTUDIANTE AMBICIOSA,persona,Estudiante ambiciosa,,
ESTUDIANTE ATENTO,persona,Estudiante atento,,
ESTUDIANTE ATREVIDA,persona,Estudiante atrevida,,
ESTUDIANTE BRILLANTE,persona,Estudiante brillante,,
ESTUDIANTE DE ÉLITE,persona,Estudiante de élite,,
ESTUDIANTE DEVOTO,persona,Estudiante devoto,,
ESTUDIANTE DURA,persona,Estudiante dura,,
ESTUDIANTE ENTREGADO,persona,Estudiante entregado,,
ESTUDIANTE ERMITAÑO,persona,Estudiante ermitaño,,
ESTUDIANTE FAN,persona,Estudiante fan,,
ESTUDIANTE GAMBERRO,persona,Estudiante gamberro,,
ESTUDIANTE HONESTO,persona,Estudiante honesto,,
ESTUDIANTE IMPACIENTE,persona,Estudiante impaciente,,
ESTUDIANTE INAPETENTE,persona,Estudiante inapetente,,
ESTUDIANTE LECTORA,persona,Estudiante lectora,,
ESTUDIANTE MELANCÓLICO,persona,Estudiante melancólico,,
ESTUDIANTE NORMAL,persona,Estudiante normal,,
ESTUDIANTE PENSATIVA,persona,Estudiante pensativa,,
ESTUDIANTE SABELOTODO,persona,Estudiante sabelotodo,,
ESTUDIANTE SABIONDA,persona,Estudiante sabionda,,
ESTUDIANTE SENSIBLE,persona,Estudiante sensible,,
ESTUDIANTE SERVICIAL,persona,Estudiante servicial,,
ESTUDIANTE TRANQUILO,persona,Estudiante tranquilo,,
ESTUDIANTE TÍMIDO,persona,Estudiante tímido,,
ESTUDIANTE UNIVERSITARIO A TIEMPO PARCIAL,persona,Estudiante universitario a tiempo parcial,,
ESTUDIANTEACTIVISTA,persona,Estudiante activista,,
ESTUDIANTEAFICIONADOALKARAOKE,persona,Estudiante aficionado al karaoke,,
ESTUDIANTEAMBICIOSA,persona,Estudiante ambiciosa,,
ESTUDIANTEATENTO,persona,Estudiante atento,,
ESTUDIANTEATREVIDA,persona,Estudiante atrevida,,
ESTUDIANTEBRILLANTE,persona,Estudiante brillante,,
ESTUDIANTEDEVOTO,persona,Estudiante devoto,,
ESTUDIANTEDEÉLITE,persona,Estudiante de élite,,
ESTUDIANTEDURA,persona,Estudiante dura,,
ESTUDIANTEENTREGADO,persona,Estudiante entregado,,
ESTUDIANTEERMITAÑO,persona,Estudiante ermitaño,,
ESTUDIANTEFAN,persona,Estudiante fan,,
ESTUDIANTEGAMBERRO,persona,Estudiante gamberro,,
ESTUDIANTEHONESTO,persona,Estudiante honesto,,
ESTUDIANTEIMPACIENTE,persona,Estudiante impaciente,,
ESTUDIANTEINAPETENTE,persona,Estudiante inapetente,,
ESTUDIANTELECTORA,persona,Estudiante lectora,,
ESTUDIANTEMELANCÓLICO,persona,Estudiante melancólico,,
ESTUDIANTENORMAL,persona,Estudiante normal,,
ESTUDIANTEPENSATIVA,persona,Estudiante pensativa,,
ESTUDIANTESABELOTODO,persona,Estudiante sabelotodo,,
ESTUDIANTESABIONDA,persona,Estudiante sabionda,,
ESTUDIANTESENSIBLE,persona,Estudiante sensible,,
ESTUDIANTESERVICIAL,persona,Estudiante servicial,,
ESTUDIANTETRANQUILO,persona,Estudiante tranquilo,,
ESTUDIANTETÍMIDO,persona,Estudiante tímido,,
ESTUDIANTEUNIVERSITARIOATIEMPOPARCIAL,persona,Estudiante universitario a tiempo parcial,,
ETSUMA,persona,,,
ETSUMA OKI,persona,Jem Paste,,
ETSUMAOKI,persona,Jem Paste,,
ETSUO,persona,Caise,,
ETUNA,persona,Horx,Horx,Horx
ETUNA HORC,persona,Etna Horx,Etna,Horx
ETUNAHORC,persona,Etna Horx,Etna,Horx
EUCLID,persona,,,
EUN-SO,persona,An,,
EUNCHAN,persona,Ho,,
EUNYEONG,persona,Kim,,
EVA,persona,Qushchi,Qushchi,Qushchi
EVA GORDON,persona,Anqa Qushchi,Anqa,Qushchi
EVAGORDON,persona,Anqa Qushchi,Anqa,Qushchi
EVAN,persona,AYP,,
EVERS,persona,EWERZ,,
EXALUMNA ALEGRE DE NORTHBRIGHT,persona,Exalumna alegre de Northbright,,
EXALUMNA AUDAZ DE NORTHBRIGHT,persona,Exalumna audaz de Northbright,,
EXALUMNA TRANQUILA DE NORTHBRIGHT,persona,Exalumna tranquila de Northbright,,
EXALUMNA VELETA DE NORTHBRIGHT,persona,Exalumna veleta de Northbright,,
EXALUMNAALEGREDENORTHBRIGHT,persona,Exalumna alegre de Northbright,,
EXALUMNAAUDAZDENORTHBRIGHT,persona,Exalumna audaz de Northbright,,
EXALUMNATRANQUILADENORTHBRIGHT,persona,Exalumna tranquila de Northbright,,
EXALUMNAVELETADENORTHBRIGHT,persona,Exalumna veleta de Northbright,,
EXALUMNO AMABLE DE NORTHBRIGHT,persona,Exalumno amable de Northbright,,
EXALUMNO ENGREÍDO DE NORTHBRIGHT,persona,Exalumno engreído de Northbright,,
EXALUMNO FORMAL DE NORTHBRIGHT,persona,Exalumno formal de Northbright,,
EXALUMNO GRUÑÓN NORTHBRIGHT,persona,Exalumno gruñón Northbright,,
EXALUMNO PRETENCIOSO DE NORTHBRIGHT,persona,Exalumno pretencioso de Northbright,,
EXALUMNOAMABLEDENORTHBRIGHT,persona,Exalumno amable de Northbright,,
EXALUMNOENGREÍDODENORTHBRIGHT,persona,Exalumno engreído de Northbright,,
EXALUMNOFORMALDENORTHBRIGHT,persona,Exalumno formal de Northbright,,
EXALUMNOGRUÑÓNNORTHBRIGHT,persona,Exalumno gruñón Northbright,,
EXALUMNOPRETENCIOSODENORTHBRIGHT,persona,Exalumno pretencioso de Northbright,,
