# Con que fila de stats-tabla.csv se busca cada personaje.
# El rango lo trae el personaje de fabrica y no cambia; la
# rareza de la partida entra como multiplicador (NOTAS O-114).
identidad,posicion,posicion_alt,patron,rango
27AC3386,2,1,0,0
27AF7649,2,3,1,0
27C7F267,3,4,0,0
27D1887D,1,2,1,1
27E789A2,4,3,0,0
27EC51F4,4,3,0,0
280BE4E9,2,3,0,0
2816C9E8,1,3,1,0
282B1061,1,3,0,0
28333221,2,3,0,0
28618C84,2,3,1,0
286360C7,2,3,0,0
2863EF8A,3,2,1,0
28685D70,2,3,0,4
2873EFB3,2,3,1,0
2887C34F,1,2,0,1
288C1B19,2,3,1,1
288C9454,2,3,1,3
2891B955,3,2,0,0
289AEE4E,3,4,0,0
28B32ED3,4,3,0,1
28B8F685,4,3,1,0
28C46BBF,3,4,1,0
28CDE04A,3,1,1,0
28CFB3E9,3,4,1,0
28D9C9F3,1,3,1,0
28E11F3B,4,3,0,0
28F32F9B,2,3,1,0
28F349B3,1,2,1,0
28F643E0,4,3,0,0
29060188,4,2,1,0
29068165,3,4,1,3
290DD9DE,4,3,0,0
290F8A7D,1,2,0,0
291BA3C4,3,4,0,0
2923750C,2,3,0,0
29312384,2,3,1,0
293145AC,1,3,0,0
293429D7,4,3,0,0
2934B1FC,3,2,1,0
29381283,1,4,0,0
2945A978,2,4,0,3
29588479,1,4,1,0
29617470,3,4,1,0
2967C7B5,3,2,0,5
297A9CB2,4,3,1,0
297CAC00,3,2,1,1
29A10AF0,3,4,1,0
29A185BD,2,3,1,0
29A3E6B3,4,3,1,0
29A9C77C,2,3,0,2
29B9001C,3,2,0,0
29C98EDE,4,3,0,2
29D4A3DF,1,3,0,0
29E97A56,2,3,0,0
29EA3F99,3,4,0,0
2A0FB7BB,1,4,1,0
2A2551D3,2,3,1,0
2A25DE9E,3,2,0,0
2A2732DD,3,4,1,0
2A300D3C,3,4,1,0
2A3D9FE4,3,4,0,0
2A42242B,4,3,0,0
2A5077B1,3,4,0,0
2A6D2175,4,3,0,0
2A6DAE38,4,3,1,0
2A700C74,4,3,1,0
2A77603B,4,3,0,0
2A82D5E6,4,3,1,1
2A890DB0,1,4,0,0
2A8D7F51,1,3,0,2
2A924FC4,1,4,1,3
2AA62CA1,2,3,1,3
2AA7A162,2,3,0,0
2AB3D6A8,3,2,1,1
2AB47A29,4,2,1,0
2AB591C2,1,3,0,0
2AC0F0D5,4,3,0,2
2AC7D279,2,3,1,4
2AD5EB4F,1,3,1,0
2ADAF6EE,2,3,0,0
2AFE48DC,4,3,0,0
2B08403A,3,2,0,3
2B178178,1,3,1,0
2B189CD9,2,3,0,0
2B37FABD,3,4,0,1
2B3C22EB,1,3,1,0
2B40BFD1,3,4,1,0
2B4B6787,2,3,1,0
2B4F1566,2,4,0,0
2B644696,2,3,1,3
2B65CB55,2,3,0,0
2B672716,3,1,0,0
2B71BC9F,3,2,1,1
2B77FBF5,2,3,1,0
2B804E1C,1,3,1,0
2B921D86,3,4,0,0
2BAF4B42,2,3,1,3
2BAFC40F,4,3,1,0
2BB26643,4,1,1,0
2BCDDD8C,2,3,0,0
2BCFB366,1,4,0,0
2BE558EA,2,3,1,0
2BE73BE4,1,4,0,0
2BE7B4A9,3,2,1,0
2BF2670B,3,2,1,0
2C01E8E6,2,3,0,0
2C23705E,2,3,0,0
2C2774C0,4,3,0,0
2C2F3A7A,2,4,0,4
2C358A37,2,3,1,0
2C3C316F,4,3,0,0
2C3E5261,2,3,1,3
2C42CF5B,3,4,1,0
2C49170D,3,4,1,1
2C696CC8,4,3,1,0
2C6C6389,2,3,0,0
2C72D419,4,3,1,1
2C7E5329,4,3,1,0
2C89E6C0,1,3,1,0
2C9AF0A1,3,4,0,0
2C9BB55A,1,4,1,0
2CA317ED,2,3,1,3
2CA66CD3,2,3,1,0
2CAF3BFC,4,1,0,0
2CB016C9,2,3,1,0
2CB4271E,4,3,0,1
2CC61BBA,3,4,0,0
2CCA249C,2,3,1,4
2CD08033,4,1,0,0
2CDCBB67,2,3,0,0
2CECF036,3,4,0,0
2CEE1C75,3,2,1,2
2CEE9338,4,3,0,0
2CF33174,2,3,1,0
2CFE041B,1,3,1,0
2D12EA04,4,1,0,0
2D1E497B,4,2,1,0
2D1ED150,4,3,1,0
2D2C7642,3,4,0,2
2D2CF90F,4,3,1,0
2D2E9A01,1,4,0,0
2D315B43,2,3,0,0
2D343738,1,4,1,3
2D3AD874,4,3,0,0
2D3C6E2C,2,3,0,0
2D3CA337,2,3,0,4
2D3D9E4F,2,4,0,4
2D4B8CF7,4,3,0,0
2D589A96,4,3,0,0
2D59DF6D,3,4,1,0
2D6406E4,2,4,1,0
2D727CFE,4,3,1,0
2D80A56C,4,3,1,0
2D8B7D3A,4,3,1,0
2D9EAF46,2,3,1,5
2DAB06FF,3,4,0,0
2DAE09BE,3,4,0,0
2DB0BE2E,3,2,0,2
2DBC391E,4,3,0,0
2DC0C71E,4,3,0,0
2DCF05E1,3,2,0,3
2DEC08C2,2,3,1,3
2DF5F631,2,3,1,3
2DF7E000,1,3,0,0
2DFE5B58,4,2,0,0
2E047102,3,2,1,0
2E0FA954,4,3,1,0
2E128455,2,4,1,1
2E1A7B28,2,3,1,5
2E2ADDD0,4,1,0,0
2E38ED70,4,3,0,0
2E501BC2,1,3,1,0
2E73346E,1,4,0,0
2E812820,1,4,0,2
2E8684A1,3,4,0,1
2E8FB5A6,2,3,0,0
2EA82D61,2,3,1,0
2EA8A22C,3,2,0,1
2EAA4E6F,4,3,1,0
2EB0E356,3,4,0,1
2EC40365,2,3,0,2
2EDC4EF8,2,3,0,0
2EDD0B03,1,3,1,0
2EE0D28A,4,3,0,0
2EEB69E6,4,1,0,0
2F1714A0,1,2,1,2
2F1F6134,4,3,1,0
2F22B8BD,1,3,0,0
2F44EE96,4,3,0,0
2F4EF0F2,2,3,1,4
2F682458,1,3,1,0
2F6A4756,3,4,1,0
2F6AC81B,1,3,1,2
2F7A476F,3,1,1,0
2F853C88,3,2,1,0
2F8D4641,3,2,1,3
2F9FF28B,3,4,0,0
2FB15E59,3,2,0,0
2FB34868,1,2,1,3
2FBA860F,3,4,1,0
2FC61B35,1,4,0,0
2FCDC363,2,3,1,0
2FD0EE62,4,3,0,0
2FE8B7E7,2,3,0,0
2FF48419,3,4,0,2
2FFA8747,1,3,1,0
30009285,2,3,1,0
3014BB3C,2,3,1,0
3016E89F,4,3,0,0
301D30C9,4,1,1,0
302A74ED,4,3,0,0
302F1896,1,3,1,0
302F80BD,4,1,0,0
3038444D,4,3,0,0
3055406F,2,1,1,1
3055CF22,1,2,1,3
3061ADF3,4,3,0,0
30664B2F,2,1,0,4
30679D41,3,2,1,1
307A4531,2,3,1,0
307CF6F4,3,4,0,5
30B2F63D,2,3,0,2
30B8D7F2,2,3,0,0
30BA3BB1,3,2,1,0
30BAB4FC,2,3,0,0
30CF929E,3,4,1,0
30D2BF9F,4,1,1,1
30E01C78,4,3,1,1
30E0C524,2,3,1,1
30F24B17,3,4,0,0
310DF8A9,1,2,1,0
3110D5A8,3,4,1,0
3123B9D2,2,3,1,5
31280360,3,4,0,0
312F7F8B,2,3,1,1
31302120,2,3,1,0
313364EF,3,2,0,0
3168DEF2,2,3,1,0
3178DECB,2,3,1,0
317ABDC5,4,3,0,0
3181DF0F,3,2,1,0
318A8814,3,4,0,0
31972A58,3,4,0,2
3197A515,2,3,1,2
319CF20E,4,2,0,1
31A3C7C4,4,3,1,0
31A81F92,4,3,1,2
31B82F06,1,4,1,0
31C2F8B2,2,3,1,0
31D482A8,4,3,0,0
31D6D10B,4,3,0,0
31DF5AFE,4,3,1,0
31E81EDA,1,3,0,0
31E878F2,4,3,1,0
31ED72A1,4,3,0,0
31FA2E7A,3,1,0,0
3203AD98,4,3,0,0
320CB039,2,3,1,0
3213717B,2,3,1,3
322713AA,2,3,1,0
322CCBFC,3,2,1,0
325056C6,4,3,1,0
32542427,2,4,1,0
325B8E90,4,3,1,0
326A8DDE,2,4,1,1
326CCAB4,1,4,0,0
327C1657,3,4,0,0
327EFA14,2,3,0,0
327F77D7,2,3,1,1
3283AC1E,3,2,0,4
32892CC7,1,3,1,0
329B7F5D,4,3,0,0
32A95702,4,3,1,0
32B47A03,2,3,1,3
32B4F54E,1,3,0,0
32C6A73F,2,4,1,2
32D48227,3,2,1,0
32D6ECCD,1,3,1,0
32E4C492,2,3,1,0
32E9564A,1,3,0,0
32EA4146,4,3,0,0
32FC0AA5,4,3,1,0
32FE69AB,4,3,0,0
331486FA,3,2,1,0
3326AEA5,3,4,0,0
33282B71,4,3,0,0
332B3C7D,2,3,0,0
333C039C,4,2,0,0
333E6092,3,4,1,0
333EEFDF,3,2,1,0
334B46F0,3,4,1,0
3359156A,4,2,0,0
336B3D35,3,2,1,0
336C517A,3,4,0,0
33761034,4,3,0,0
33769F79,1,3,0,0
338C36DB,2,3,0,5
33923CF1,1,3,0,0
339905CF,3,2,0,3
3399E4A7,4,1,1,0
33A09645,3,2,0,0
33A8E7E9,2,4,1,2
33AEA083,4,3,1,0
33AF4B68,4,3,0,0
33BC9023,1,3,0,0
33C1C7AF,3,2,0,0
33CEDA0E,3,4,0,0
33D11B4C,1,3,1,3
33DBC194,3,4,0,2
33E5799D,2,4,0,0
3405E011,3,2,1,0
3409DB45,4,1,0,0
341F40CC,4,3,0,0
341FE784,2,3,1,2
3421E935,4,3,1,0
34275F6D,4,3,0,0
342A6A02,3,4,1,0
342F0679,2,3,1,3
3435AB40,2,3,1,0
34374703,3,4,0,2
3437C84E,3,2,0,0
3442EE2C,1,2,1,0
3443ABD7,2,3,0,0
344E17E8,3,4,1,0
3450BDB6,4,3,0,0
34694DBF,4,3,1,0
347F37A5,3,4,1,0
34904C7B,4,3,1,0
349B942D,2,3,1,0
34A7085F,4,3,1,0
34AA9B59,2,3,1,5
34AB8F6F,3,2,0,2
34B037BE,2,3,1,0
34B538FF,3,1,0,0
34D8B390,1,3,1,0
34DBF65F,3,4,0,0
34E56A19,2,3,1,0
34ECD141,2,3,1,0
34EEC770,3,2,0,3
34F73983,2,3,1,3
351AD9A7,2,3,1,1
35256320,3,4,1,0
3527002E,2,4,1,0
352EBB76,2,3,1,0
353553B4,1,2,1,3
3552264C,3,2,1,0
3559FE1A,3,2,1,0
35656268,2,3,1,0
35725D89,1,3,1,0
357752C8,4,2,0,0
3580841B,3,4,1,0
3581C1E0,2,3,0,0
358C7DDF,3,4,1,0
3592D781,4,3,0,0
35AB2788,2,3,0,0
35AF165F,3,4,0,1
35B40ABD,3,4,0,0
35BD5D92,4,3,0,0
35C7120D,3,1,0,0
35C78A26,4,3,0,0
35CBB172,2,4,0,0
35DD2AFB,4,2,1,0
35E5355A,2,4,1,0
35E80035,1,4,1,0
35ED6C4E,2,3,1,3
35F52D34,2,3,1,2
35F5A279,2,3,0,0
35F7C177,2,3,1,0
35FE1083,2,3,1,4
36045075,4,2,0,0
362F6511,2,3,0,0
363989FC,3,4,1,0
365FDFD7,3,2,1,0
3661762E,1,2,1,0
36717617,4,2,0,0
3671F95A,3,4,1,2
36731519,3,4,0,0
367AC4ED,2,3,1,4
3684C3CA,3,2,0,0
36967700,2,3,1,3
369CF121,4,3,0,2
369E0DC9,3,4,1,1
36A1B74E,3,4,1,0
36AA6F18,4,2,0,0
36BC9571,4,1,0,0
36CBDF23,4,3,1,0
36D6F222,3,4,1,0
36D8C89C,2,3,0,5
36DD2A74,3,4,0,0
36E1B606,1,3,0,0
36F386A6,3,4,0,0
37149815,4,3,1,0
371F4043,3,4,1,0
3723DC31,3,4,0,0
372E4F37,2,3,1,5
3731EC91,2,3,0,0
37541D37,4,3,1,2
375C67FE,1,3,1,1
3768052F,3,4,1,0
376A131E,2,3,1,3
379A1961,4,2,0,2
379DB5E0,3,2,0,0
37A31C19,2,4,1,0
37ABD217,3,2,0,0
37B17F2E,4,3,1,0
37B31C20,4,3,1,0
37B3936D,3,4,0,0
37C63A42,2,3,1,0
37C77FB9,2,4,1,0
37CB51D1,2,4,0,5
37D0DE29,4,2,0,4
37DCD24E,2,3,1,3
37DF3224,2,3,0,2
37F058A7,3,2,0,0
37FB6C86,4,3,1,0
37FBE3CB,2,3,1,0
380A2CCC,2,3,1,0
38377A08,4,3,1,0
3838474F,2,3,1,1
383CA25E,4,3,1,0
38403F64,2,3,1,1
3848C1C7,2,3,1,0
384BE732,3,4,0,2
38500FF0,2,3,1,0
3855B5EA,2,3,0,0
386044A1,4,3,1,0
38777B40,1,3,0,0
387F85E3,2,3,1,0
3881A91A,3,2,0,3
3887A738,2,1,0,4
38907170,3,4,0,0
38929D33,1,3,1,0
389B266B,3,4,0,0
38B93EA0,4,3,1,0
38BF742E,3,4,1,2
38C2CFD5,1,4,0,0
38C5A39A,2,4,0,0
38CBFED2,3,4,0,0
38D801D6,4,3,1,0
38D88E9B,4,3,0,1
38E5D85F,1,3,0,0
38F5572B,2,3,1,0
3907C9AD,4,3,1,0
391A6BE1,2,3,1,0
391E6729,3,4,0,0
3927B268,2,3,1,0
393627C5,2,3,0,0
39373D1C,3,4,1,0
393E8ED7,1,3,1,2
394FB90B,1,2,1,1
3950F704,3,2,0,0
3952940A,3,4,0,1
397B5497,4,3,1,0
39825553,2,3,0,0
398AABF0,2,3,0,0
399265C7,1,4,1,0
39A22E96,1,4,1,0
39B51177,4,3,0,0
39BDEFD4,1,3,1,0
39C846FB,1,4,0,0
39D288F8,4,3,0,0
39E4F6AF,4,3,0,0
39F5103F,4,3,1,0
39FA2D78,2,3,1,1
39FEC869,2,3,1,1
3A06813D,3,4,1,0
3A0E7F9E,4,3,1,0
3A2416BB,3,4,1,0
3A25CC3D,1,4,1,1
3A2F41A0,3,2,1,2
3A31C519,2,4,0,0
3A393BBA,1,4,0,0
3A42B664,2,3,0,0
3A43EC0E,4,3,0,0
3A4C9295,2,3,1,0
3A4FB01A,3,2,1,1
3A6C661D,3,4,0,0
3A71C451,3,4,1,0
3A7A1C07,3,4,1,0
3A7FE6CC,4,3,0,2
3A869DCF,4,3,0,0
3A8B61C9,1,4,0,0
3A9EBF8F,2,3,0,0
3AA36606,3,2,1,0
3AB1359C,1,3,1,0
3AB37E68,2,3,0,0
3ABE5A3B,3,2,0,4
3AD4236A,4,3,0,0
3AD64064,3,4,1,0
3AE2418F,4,1,0,0
3AF95D6D,3,4,0,1
3B057D74,2,3,1,3
3B14A51E,3,2,1,0
3B16495D,1,3,1,0
3B1FF205,3,4,1,0
3B490BFE,4,2,0,1
3B4DD475,3,2,1,1
3B5C5AF5,4,2,0,0
3B5CD5B8,4,3,1,0
3B5F9077,4,1,0,0
3B610C31,2,3,1,0
3B71145F,3,1,0,0
3B735FAB,4,3,0,1
3B77A207,3,2,1,0
3B818639,4,3,1,0
3B8DBD6D,2,3,0,0
3B8EF8A2,2,3,1,0
3B96DAE2,2,3,0,0
3BA67C1A,2,3,1,5
3BAE0C2A,4,3,1,0
3BB3AE66,4,3,1,2
3BB3BC24,2,3,1,3
3BB87630,2,3,1,0
3BCC15A9,4,3,1,0
3BCF335C,3,2,1,0
3BD4DB9E,2,3,1,0
3BF3AF2E,1,4,0,0
3BFFA375,0,0,0,0
3C165AD9,3,2,0,0
3C1D0DC2,3,2,0,1
3C1FE181,1,3,0,0
3C2BE8EC,2,3,1,1
3C3A1A48,3,4,0,0
3C3A5C1A,2,3,1,2
3C3E05A6,2,3,0,0
3C557D64,3,2,1,0
3C55F229,4,3,0,0
3C68A4ED,2,3,0,0
3C78BC83,4,3,0,0
3C87507E,4,3,0,0
3C8C9357,3,2,0,1
3CB1DEEC,4,3,1,0
3CB48FDE,1,2,0,0
3CBA06BA,4,3,1,0
3CC00522,3,2,0,1
3CC5BD75,2,3,1,0
3CC69B80,3,2,0,0
3CCDCC9B,3,2,1,0
3CCF20D8,3,4,0,0
3CDD7342,2,3,1,0
3CEF5B1D,4,3,0,0
3CF2F951,1,4,1,0
3CFA07F2,2,4,1,0
3CFE7E61,2,3,0,3
3CFEACDB,3,2,0,1
3D07D742,1,2,0,0
3D0D4AEF,3,2,0,0
3D1F1975,2,3,1,0
3D2A5D65,2,4,0,0
3D2D312A,1,4,0,0
3D309366,1,4,0,0
3D386DC5,4,3,0,0
3D3C1456,3,4,1,0
3D3CC6EC,4,3,0,1
3D453A49,4,3,1,0
3D65418C,4,3,1,0
3D73B4DB,3,4,0,0
3D76E5E9,4,3,1,0
3D786C8D,3,2,1,0
3D971753,1,3,0,0
3D9ED3F0,1,2,1,3
3DAACEDA,4,3,0,0
3DC4E59B,3,4,0,4
3DD430EE,2,3,0,3
3DDD8BB6,2,3,1,0
3DDF67F5,4,3,0,0
3DEB4ED5,2,3,0,4
3E05B927,4,3,0,0
3E13C33D,4,3,1,0
3E2E1AB4,4,3,1,0
3E392555,3,4,0,0
3E469E9A,1,3,1,1
3E4E9E6F,4,1,0,0
3E55F38F,3,2,0,0
3E595FD8,1,3,1,0
3E5BB39B,3,4,0,0
3E652FDD,3,4,0,0
3E691489,2,4,1,1
3E697E0F,2,3,0,2
3E779B17,2,4,1,3
3E83032C,2,3,0,0
3E899E81,1,4,1,0
3E8BFD8F,2,3,1,3
3E9BCD1B,2,3,1,0
3EA257BE,2,3,1,4
3EB44708,4,3,1,0
3EB702C7,4,2,0,0
3EBCB9AB,2,4,1,0
3EBE33C0,4,2,0,0
3EC1EE27,4,3,0,0
3EC66FC1,1,3,1,5
3ECAB93C,3,1,0,1
3ECB5A6B,2,3,1,1
3ED67BC3,4,3,0,0
3EDCC326,4,3,0,0
3EF760B5,1,4,1,0
3EFCB8E3,3,2,1,0
3F038410,1,2,0,0
3F08D30B,1,3,1,3
3F14143F,3,2,0,5
3F1EA911,2,3,1,0
3F350A82,1,3,0,0
3F3BBF71,3,2,1,5
3F3ED2D4,4,2,1,0
3F41691B,2,4,0,0
3F424FEE,3,2,1,2
3F42F00E,2,1,1,0
3F4918F5,2,3,0,0
3F4BF4B6,4,3,0,0
3F570A07,2,3,1,0
3F59A72C,1,3,1,0
3F609EC3,2,3,1,5
3F7568F0,2,3,0,0
3F762D3F,2,3,1,0
3F7C59F7,2,3,1,3
3F7ED39C,3,4,1,0
3F84F4AD,2,3,1,1
3F928EB7,3,4,0,1
3F99D9AC,3,2,1,0
3F9B35EF,2,3,1,0
3FAB7EBE,1,3,1,0
3FBB4E2A,3,4,1,0
3FC200D0,3,2,0,0
3FC7D310,4,3,0,0
3FD12647,4,1,0,0
3FD1A90A,4,3,1,0
3FEC7083,2,3,0,0
3FFB4F62,2,3,1,0
4004409E,2,3,0,0
400F98C8,3,2,0,2
4012B5C9,3,4,0,0
402212EF,3,4,0,0
4030224F,2,3,0,0
4030AD02,3,4,1,0
4032CE0C,4,3,1,0
4046CEAF,1,4,0,0
40476723,1,4,1,0
404B32A9,3,4,0,1
404BE013,4,1,1,0
405AC56F,3,4,0,0
4068ED30,3,2,0,0
40702307,4,2,0,0
407ABEAA,4,3,1,0
40A3C4AB,1,3,0,0
40A893B0,3,2,0,0
40B4C6FD,3,4,0,0
40D802B2,2,3,0,2
40DD3A9F,4,2,0,0
40E0E316,2,3,0,0
411F50A8,2,3,0,0
4122066C,3,2,0,0
41228921,3,4,1,0
414DEE0D,3,4,0,0
4161AE9C,4,2,0,1
416AF987,4,3,0,0
41850D14,4,3,0,1
4189589E,1,4,0,2
41898A24,4,3,0,2
4198AF58,2,3,0,0
419FC317,3,4,0,0
41AA8707,2,3,1,0
41B24930,3,2,1,0
41B7F167,4,2,1,1
41B8D49D,1,3,1,0
41C37B9B,4,1,1,0
41C62AA9,4,3,0,0
41F0A43B,3,4,1,0
41F2C735,4,3,0,0
4201D97A,4,3,1,0
42029CB5,2,3,0,0
420BADB2,3,4,0,0
422E5369,2,3,1,0
4235044B,3,4,1,0
42369D5E,4,3,1,0
423C00F3,4,3,0,0
4242FEC7,4,3,0,0
42695D54,1,3,0,0
42747055,1,3,1,0
4276135B,3,4,1,0
427F274E,3,2,1,1
4284CAC9,1,3,1,0
428CBB27,3,4,1,0
429B84C6,3,4,0,0
42A65D4F,1,4,0,0
42A6D202,4,3,0,0
42B02755,4,3,0,0
42DC8AFB,4,3,0,0
42E57AF2,4,3,1,0
42EE2DE9,4,3,1,0
42F300E8,3,2,1,0
430EC21A,2,3,1,3
4312DB98,2,3,0,0
4325EC2D,2,3,1,2
432710C5,1,3,1,0
432C47DE,4,3,1,0
43316ADF,4,3,0,0
4346A0FE,3,4,1,0
434ED110,1,4,0,0
4359EEF1,3,2,1,0
43643778,4,3,1,0
43724D62,1,3,1,0
438094F0,1,4,1,0
438B4CA6,2,3,1,0
43AB265F,3,4,1,4
43AB3763,2,3,1,0
43B4796C,3,4,1,0
43B4F621,2,4,1,0
43B61A62,2,3,1,0
43C3B34D,2,3,0,0
43EC395E,1,4,1,0
43F4F769,3,4,1,0
43FE6AC4,2,4,1,0
440AEA5C,1,2,0,2
4425604F,4,3,0,1
442EB819,4,3,0,2
44384D4E,1,4,0,1
4440C959,4,3,1,0
4450462D,3,4,0,0
445F0088,2,3,0,2
44609557,2,3,1,0
446D9FA4,1,4,1,0
44703DE8,1,4,1,0
447751A7,3,4,0,0
447E60A0,4,1,1,0
447F7A79,4,2,0,0
4482E47A,2,3,1,2
44893C2C,3,4,1,0
448ECD0F,4,2,1,1
44A57CBD,2,3,0,0
44BD5EFD,2,3,1,1
44BDD1B0,4,3,0,0
44BFB2BE,1,2,0,0
44CA1B91,1,3,0,0
44E59182,3,4,0,0
44F7C218,2,3,1,0
44FD5FB5,2,3,0,0
450871A6,4,3,0,0
4527FBB5,2,3,1,0
453F3582,2,3,0,0
454B561B,2,1,0,0
457DD889,4,3,0,0
457FBB87,1,3,1,0
4582A36E,3,4,1,0
45922C1A,4,3,1,0
45A2674B,1,3,1,0
45A2FF60,4,1,1,0
45AF7ADE,3,4,0,0
45AFF593,4,3,1,0
45B257DF,2,3,0,0
45B53B90,4,3,0,0
45BC0A97,2,4,0,2
45C8806B,2,3,0,2
45D0C111,2,3,1,2
45E78535,4,3,0,1
45E9D15E,4,3,0,1
45ECD22E,4,3,1,0
45FA2779,2,3,1,2
46005642,4,2,1,0
4604ABEE,3,4,0,0
4604E078,2,3,0,0
4606E01A,4,3,0,0
46071079,4,3,0,4
462B21FD,2,3,1,0
462BAEB0,3,4,0,1
463EFFBB,2,3,0,0
464CC31F,1,4,1,0
464EDFFE,2,3,0,3
4657DFFD,2,3,0,0
4663515B,4,3,0,0
46680640,4,2,1,0
467E1CC7,1,2,1,3
468CA5C8,2,3,1,1
469188C9,1,3,0,0
46A32FDB,4,3,1,0
46BBE1EC,3,4,1,0
46CF8275,4,3,1,0
46D9F86F,1,4,0,0
46F6727C,2,4,1,0
46FA4928,1,4,0,0
46FA7FEA,2,3,1,0
46FB6FE9,2,3,1,0
47063014,2,3,1,2
47081289,2,4,1,3
470A1961,4,2,1,1
470DE842,3,4,1,0
471B9258,1,4,0,0
47297877,2,3,1,1
4734184B,3,4,0,0
4738445F,4,1,1,1
473905DE,2,3,1,0
47398A93,3,2,1,0
473B66D0,4,3,1,0
4740CCA1,3,4,0,2
47436172,2,3,1,3
474ECFFF,3,2,1,0
4753E2FE,4,3,0,0
4758B5E5,4,3,0,1
476145EC,1,3,1,0
47798BDB,1,4,1,0
4783BEA8,2,1,1,1
478E03CC,3,2,0,1
47A1B421,4,3,0,1
47A8E4CA,2,3,0,0
47AA6C77,1,4,1,0
47B5C6AB,2,3,0,2
47C23C75,3,4,0,1
47C48A2D,3,1,1,0
47D313A5,4,3,0,5
47D49243,4,3,1,0
47E94BCA,3,4,1,0
47EA0E05,3,2,0,0
47FC958C,2,4,0,0
4805A9CC,4,3,0,0
4809DC7B,3,2,1,4
4812962D,2,3,0,0
4814D147,4,1,1,1
481A688E,3,4,1,0
481AE7C3,2,3,1,0
4825D209,2,3,0,0
482E0A5F,3,4,1,0
4842A7F1,4,2,0,2
486D2DE2,4,3,0,0
4882563C,2,3,0,0
4882D971,3,4,0,1
4892C11F,3,1,1,0
48947747,3,2,1,0
489A980B,3,2,1,3
489FF470,4,3,0,0
48AADEBE,3,4,1,0
48B07E63,4,3,0,0
48B0E648,2,1,1,0
48BC4537,3,2,0,0
48C1FA6A,3,2,1,3
48C3FEF8,3,4,0,0
48C53046,3,2,0,0
48CAA9D7,3,4,1,0
48D8E21A,1,2,1,1
48DCD3CD,3,2,1,0
48E523C4,2,3,1,0
48F635A5,2,3,0,0
48F7705E,2,3,1,0
4903905D,3,2,1,3
4908C3E0,1,4,0,0
491353CE,2,3,1,3
491B92F4,2,3,1,1
491EB9FA,2,3,1,0
492749F3,3,4,1,0
49345F92,3,2,1,0
49351A69,3,4,0,0
49403C0B,3,4,0,0
4940B346,4,2,1,1
49427AFE,4,3,0,3
4950AB28,4,3,0,0
4958F23C,3,2,1,3
495D9E47,3,4,1,0
4968B489,1,2,1,0
496E4E99,2,3,0,2
49721454,4,1,1,0
49929E5C,1,3,0,1
499EC7EC,2,3,1,5
49AC021A,2,3,0,0
49AF47D5,4,3,1,0
49B9F8ED,2,3,1,1
49C7C3FB,2,3,1,0
49D0FC1A,2,3,1,0
49D88DF4,4,3,0,0
49DC7B2A,2,3,1,3
49E7B83E,1,3,1,2
49EC6068,2,3,1,0
4A203F88,2,3,1,3
4A23E972,3,4,1,2
4A2B93BB,4,1,1,0
4A542874,1,4,0,0
4A5C599A,4,3,0,0
4A636C50,1,3,1,0
4A68B406,4,1,0,0
4A874433,3,2,1,3
4A8C178E,3,4,1,0
4A8C98C3,3,4,0,0
4AA7CE21,4,2,1,0
4AB08BFC,1,4,0,0
4AB1CE07,1,4,1,0
4AC46728,4,3,0,1
4AC4E865,3,2,0,0
4AD4E85C,3,2,1,0
4ADC2652,4,3,0,0
4B060D1F,1,3,1,0
4B068252,2,3,0,0
4B16826B,1,4,1,0
4B211A95,3,2,0,0
4B282B92,4,1,0,0
4B393530,2,3,0,0
4B452E04,3,2,1,3
4B48FE9C,1,3,1,1
4B4E7DB9,4,3,1,0
4B619D06,3,2,1,4
4B73A430,1,3,1,0
4B964243,3,4,1,0
4B9E33AD,1,3,1,0
4B9EBCE0,3,2,0,0
4BA10667,2,3,1,0
4BA88D92,2,3,0,0
4BAADE31,1,3,1,0
4BBC2B66,3,4,0,0
4BE18345,1,2,1,3
4BE255BF,2,3,1,3
4BE85000,3,2,0,0
4BE9F98C,2,3,0,0
4BECD0C2,2,1,1,1
4BEF0471,3,2,1,1
4BF3378F,2,3,0,0
4C0F2A8E,2,4,0,0
4C0FA5C3,1,3,0,0
4C4490AA,4,3,0,0
4C47D565,1,3,1,0
4C6721ED,4,3,0,0
4C6835DA,3,2,0,4
4C7A0CEC,4,2,1,0
4C97143C,3,2,1,0
4C979B71,3,2,0,0
4C9A86E4,3,4,0,1
4C9FEA9F,2,3,1,0
4CA05018,4,3,1,0
4CA0D52D,2,4,1,4
4CA1254E,3,2,1,0
4CA376ED,4,3,1,0
4CA8AEBB,2,3,1,0
4CB50CF7,1,3,0,0
4CB89E2F,2,3,1,0
4CCFDB43,4,3,1,0
4CD1D169,1,2,1,5
4CE0DE1D,2,3,0,2
4CEB064B,1,4,1,1
4CF62B4A,4,3,1,1
4CFD7C51,4,3,1,0
4D223B67,4,1,0,2
4D296C7C,3,4,1,1
4D300BC7,2,4,0,0
4D34417D,1,3,1,0
4D54D787,3,4,0,0
4D55F146,1,3,1,0
4D5874F8,2,3,0,0
4D5A4A01,2,4,1,0
4D5D80A8,1,3,1,0
4D5DE680,3,2,1,0
4D611CDA,1,3,0,0
4D623A2F,2,4,0,0
4D634F79,2,4,1,0
4D6AC48C,1,3,1,0
4D7766C0,1,3,0,0
4D85BF52,1,2,1,0
4DA54BDA,2,3,1,1
